outcomeid,refid,author,year,treatment,high_intensity_eibi,low_intensity_eibi,low_intensity_parent_training,defined_school_program,high_intensity_community,adjunctive_community_service,eclectic_school,intervention_duration,n_analysis,age_enroll_mean,age_enroll_sd,age_enroll_lo,age_enroll_hi,diagnosis_autism,diagnosis_pdd-nos,diagnosis_asperger,diagnosis_other,obsid,cognition_outcome,tool,baseline_mean,baseline_sd,end_tx_mean,end_tx_sd,final_mean,final_sd,change_mean,change_sd
18,6304_8035,"R. J. Landa, ","2011, 2012",Non-IS,0,0,0,0,0,0,0,6.0,24,28.8,2.8,21.0,33.0,0.0,0.0,0.0,25.0,18,Language IQ,MSEL,25.92,8.12,31.92,13.67,31.36,12.12,,
54,6304_8035,"R. J. Landa, ","2011, 2012",Non-IS,0,0,0,0,0,0,0,6.0,24,28.8,2.8,21.0,33.0,0.0,0.0,0.0,25.0,18,Non-verbal IQ,MSEL,31.12,9.86,32.24,14.07,30.28,16.62,,
19,6537_6592,Zachor,2010,ABA,1,0,0,1,0,0,0,12.0,45,25.1,3.9,17.0,35.0,0.0,0.0,0.0,45.0,19,Non-verbal IQ,MSEL,42.3,12.7,,,42.4,18.2,,
55,6537_6592,Zachor,2010,ABA,1,0,0,1,0,0,0,12.0,45,25.1,3.9,17.0,35.0,0.0,0.0,0.0,45.0,19,Motor IQ,MSEL,33.0,14.0,,,33.0,14.6,,
74,6537_6592,Zachor,2010,ABA,1,0,0,1,0,0,0,12.0,45,25.1,3.9,17.0,35.0,0.0,0.0,0.0,45.0,19,Language IQ,MSEL,34.4,15.2,,,40.1,14.2,,
80,6537_6592,Zachor,2010,ABA,1,0,0,1,0,0,0,12.0,45,25.1,3.9,17.0,35.0,0.0,0.0,0.0,45.0,19,Language IQ,MSEL,28.8,11.3,,,35.6,15.0,,
20,6537_6592,Zachor,2010,eclectic,0,0,0,1,0,0,0,12.0,33,26.0,4.6,15.0,33.0,0.0,0.0,0.0,33.0,20,Non-verbal IQ,MSEL,37.7,12.1,,,43.1,17.0,,
56,6537_6592,Zachor,2010,eclectic,0,0,0,1,0,0,0,12.0,33,26.0,4.6,15.0,33.0,0.0,0.0,0.0,33.0,20,Motor IQ,MSEL,34.1,12.9,,,33.7,14.5,,
75,6537_6592,Zachor,2010,eclectic,0,0,0,1,0,0,0,12.0,33,26.0,4.6,15.0,33.0,0.0,0.0,0.0,33.0,20,Language IQ,MSEL,29.6,14.8,,,37.7,12.8,,
81,6537_6592,Zachor,2010,eclectic,0,0,0,1,0,0,0,12.0,33,26.0,4.6,15.0,33.0,0.0,0.0,0.0,33.0,20,Language IQ,MSEL,31.4,12.5,,,39.0,14.3,,
21,6245_6549,Strauss,2011,EIBI,1,0,0,1,0,0,0,6.0,24,55.67,17.63,26.0,81.0,0.0,0.0,0.0,24.0,21,IQ Standard Score,Griffith mental developmental scales,55.65,20.06,68.75,19.58,,,,
22,6245_6549,Strauss,2011,Eclectic,0,0,0,0,0,0,0,6.0,20,41.94,13.07,27.0,69.0,0.0,0.0,0.0,20.0,22,IQ Standard Score,Griffith mental developmental scales,74.29,29.37,76.0,26.08,,,,
23,546,Cohen,2006,EIBT-UCLA,1,0,0,0,0,0,0,36.0,21,30.2,5.8,,,20.0,1.0,0.0,0.0,23,IQ Standard Score,BSID-II,61.6,16.4,,,87.0,,,
57,546,Cohen,2006,EIBT-UCLA,1,0,0,0,0,0,0,36.0,21,30.2,5.8,,,20.0,1.0,0.0,0.0,23,Non-verbal IQ,Merrill-Palmer,82.4,17.3,,,95.0,,,
24,546,Cohen,2006,control,0,0,0,0,0,0,0,36.0,21,33.2,3.7,,,15.0,6.0,0.0,0.0,24,IQ Standard Score,BSID-II,59.4,14.7,,,73.0,,,
58,546,Cohen,2006,control,0,0,0,0,0,0,0,36.0,21,33.2,3.7,,,15.0,6.0,0.0,0.0,24,Non-verbal IQ,Merrill Palmer,73.4,11.9,,,86.0,,,
25,588,Edelvik,2006,behavioral,1,0,0,0,0,0,0,20.3,13,53.0,9.5,36.0,68.0,13.0,0.0,0.0,0.0,25,IQ Standard Score,composite,41.0,15.2,,,49.2,16.6,,
59,588,Edelvik,2006,behavioral,1,0,0,0,0,0,0,20.3,13,53.0,9.5,36.0,68.0,13.0,0.0,0.0,0.0,25,Non-verbal IQ,MPSMT,68.2,28.3,,,76.9,27.2,,
26,588,Edelvik,2006,Eclectic,0,0,0,0,0,0,0,21.4,13,49.0,16.9,21.0,69.0,15.0,0.0,0.0,0.0,26,IQ Standard Score,composite,47.2,14.7,,,44.3,18.9,,
60,588,Edelvik,2006,Eclectic,0,0,0,0,0,0,0,21.4,13,49.0,16.9,21.0,69.0,15.0,0.0,0.0,0.0,26,Non-verbal IQ,MPSMT,72.0,22.1,,,61.5,24.5,,
27,734,Howard,2005,"intensive behavior
analytic (IBT)",1,0,0,0,0,0,0,14.2,29,30.86,5.2,,,24.0,5.0,0.0,0.0,27,IQ Standard Score,composite,58.54,18.15,,,89.88,20.87,,
61,734,Howard,2005,"intensive behavior
analytic (IBT)",1,0,0,0,0,0,0,14.2,29,30.86,5.2,,,24.0,5.0,0.0,0.0,27,Non-verbal IQ,Merrill-Palmer,80.14,11.86,,,101.67,19.14,,
28,734,Howard,2005,Intensive Eclectic,0,0,0,0,1,0,0,13.3,16,37.0,5.68,,,12.0,4.0,0.0,0.0,28,IQ Standard Score,composite,53.69,13.5,,,62.13,19.63,,
62,734,Howard,2005,Intensive Eclectic,0,0,0,0,1,0,0,13.3,16,37.0,5.68,,,12.0,4.0,0.0,0.0,28,Non-verbal IQ,Merrill-Palmer,67.44,16.69,,,73.56,24.94,,
29,734,Howard,2005,"non-intensive public early
intervention",0,0,0,0,0,0,1,14.8,16,34.56,6.53,,,9.0,7.0,0.0,0.0,29,IQ Standard Score,composite,59.88,14.85,,,68.81,15.32,,
63,734,Howard,2005,"non-intensive public early
intervention",0,0,0,0,0,0,1,14.8,16,34.56,6.53,,,9.0,7.0,0.0,0.0,29,Non-verbal IQ,Merrill-Palmer,77.69,12.33,,,82.53,16.76,,
30,997,Drew,2002,Parent training,0,0,1,0,0,0,0,12.3,12,21.4,2.7,,,0.0,0.0,0.0,12.0,30,Non-verbal IQ,GSID,88.1,11.2,77.9,14.8,,,,
31,997,Drew,2002,Local services,0,0,0,0,0,1,0,12.3,12,24.0,3.8,,,0.0,0.0,0.0,12.0,31,Non-verbal IQ,GSID,77.9,16.5,66.1,17.1,,,,
32,1117,Eikeseth,2002,UCLA,1,0,0,1,0,0,0,12.0,12,66.31,11.31,48.0,84.0,13.0,0.0,0.0,0.0,32,Non-verbal IQ,WPPSI-R/WISC-R/BSID,77.54,30.21,95.0,16.91,,,,
33,1117,Eikeseth,2002,Eclectic,1,0,0,0,0,0,1,12.0,11,65.0,10.95,48.0,84.0,12.0,0.0,0.0,0.0,33,Non-verbal IQ,WPPSI-R/WISC-R/BSID,81.83,21.05,90.17,19.97,,,,
34,1264,Smith,2000,"Intensive Rx-
UCLA",1,0,0,0,0,0,0,33.4,15,36.07,6.0,,,7.0,8.0,0.0,0.0,34,IQ Standard Score,"Bayley, Stanford-Binet",50.53,11.18,66.49,24.08,,,,
64,1264,Smith,2000,"Intensive Rx-
UCLA",1,0,0,0,0,0,0,33.4,15,36.07,6.0,,,7.0,8.0,0.0,0.0,34,IQ Age Scale,Merrill-Palmer,21.6,4.49,64.33,18.74,,,,
35,1264,Smith,2000,Parent training,0,0,1,0,0,0,1,6.0,13,35.77,5.37,,,7.0,6.0,0.0,0.0,35,IQ Standard Score,"Bayley, Stanford-Binet",50.69,13.88,49.67,19.74,,,,
65,1264,Smith,2000,Parent training,0,0,1,0,0,0,1,6.0,13,35.77,5.37,,,7.0,6.0,0.0,0.0,35,IQ Age Scale,Merrill-Palmer,21.92,5.5,49.17,21.43,,,,
76,5652,Zachor,2007,ABA,1,0,0,0,0,0,0,12.0,20,27.7,,22.0,34.0,0.0,0.0,0.0,20.0,36,IQ Standard Score,Stanford Binet and BSID-II,76.1,15.2,,,,,,
77,5652,Zachor,2007,Eclectic,0,0,0,1,0,0,0,12.0,19,28.8,,22.0,33.0,0.0,0.0,0.0,19.0,37,IQ Standard Score,Stanford Binet and BSID-II,79.6,17.0,,,,,,
38,5680,Hayward,2009,"Clinic based
ABA",1,0,0,0,0,0,0,12.0,23,35.7,6.2,24.0,42.0,23.0,0.0,0.0,0.0,38,IQ Standard Score,Bayley and WPPSI-R,53.5,15.1,70.9,19.6,,,,
68,5680,Hayward,2009,"Clinic based
ABA",1,0,0,0,0,0,0,12.0,23,35.7,6.2,24.0,42.0,23.0,0.0,0.0,0.0,38,Non-verbal IQ,Merrill-Palmer,74.8,22.6,89.4,29.2,,,,
39,5680,Hayward,2009,"Parent
managed
ABA",1,0,0,0,0,0,0,12.0,21,34.4,5.7,24.0,42.0,21.0,0.0,0.0,0.0,39,IQ Standard Score,Bayley and WPPSI-R,54.1,15.1,68.9,22.1,,,,
69,5680,Hayward,2009,"Parent
managed
ABA",1,0,0,0,0,0,0,12.0,21,34.4,5.7,24.0,42.0,21.0,0.0,0.0,0.0,39,Non-verbal IQ,Merrill-Palmer,76.2,18.2,82.1,28.0,,,,
40,5715,Dawson,2009,ESDM,1,0,0,0,0,0,0,24.0,24,23.9,4.0,18.0,30.0,0.0,0.0,0.0,24.0,40,IQ Standard Score,MSEL,61.0,9.2,,,78.6,24.2,,
41,5715,Dawson,2009,Assess & Monitor group,0,0,0,0,1,0,0,24.0,21,23.1,3.9,18.0,30.0,0.0,0.0,0.0,24.0,41,IQ Standard Score,MSEL,59.4,8.6,,,66.3,15.3,,
44,647,Sallows,2005,Clinic directed,1,0,0,0,0,0,0,48.0,13,33.23,3.89,,,13.0,0.0,0.0,0.0,44,IQ Standard Score,Bayley and Merrill-Palmer,50.85,10.57,73.08,33.08,,,,
70,647,Sallows,2005,Clinic directed,1,0,0,0,0,0,0,48.0,13,33.23,3.89,,,13.0,0.0,0.0,0.0,44,Non-verbal IQ,"Bayley, Merrill-Palmer",70.58,16.54,77.58,25.24,,,,
45,647,Sallows,2005,Parent directed,1,0,0,0,0,0,0,48.0,10,34.2,5.1,,,10.0,0.0,0.0,0.0,45,IQ Standard Score,Bayley and Merrill-Palmer,52.1,8.98,79.6,21.8,,,,
71,647,Sallows,2005,Parent directed,1,0,0,0,0,0,0,48.0,10,34.2,5.1,,,10.0,0.0,0.0,0.0,45,Non-verbal IQ,"Bayley, Merrill-Palmer",82.67,14.94,89.44,18.35,,,,
47,9006,Peters-Scheffer,2013,Low intensity behavioral,0,1,0,0,0,0,0,24.0,20,,,37.0,85.0,18.0,2.0,0.0,0.0,47,IQ Age Scale,MSEL,23.34,7.32,39.7,11.99,39.7,11.99,,
72,9006,Peters-Scheffer,2013,Low intensity behavioral,0,1,0,0,0,0,0,24.0,20,,,37.0,85.0,18.0,2.0,0.0,0.0,47,Non-verbal IQ,MSEL,26.3,8.47,44.5,14.39,44.5,14.39,,
78,9006,Peters-Scheffer,2013,Low intensity behavioral,0,1,0,0,0,0,0,24.0,20,,,37.0,85.0,18.0,2.0,0.0,0.0,47,Motor IQ,MSEL,27.5,6.2,44.45,14.66,44.45,14.66,,
82,9006,Peters-Scheffer,2013,Low intensity behavioral,0,1,0,0,0,0,0,24.0,20,,,37.0,85.0,18.0,2.0,0.0,0.0,47,Language IQ,MSEL,19.75,9.26,36.55,11.63,36.55,11.63,,
84,9006,Peters-Scheffer,2013,Low intensity behavioral,0,1,0,0,0,0,0,24.0,20,,,37.0,85.0,18.0,2.0,0.0,0.0,47,Language IQ,MSEL,19.8,8.32,33.3,12.02,33.3,12.02,,
48,9006,Peters-Scheffer,2013,control / TAU,0,0,0,0,0,0,1,24.0,20,,,37.0,85.0,19.0,1.0,0.0,0.0,48,IQ Age Scale,MSEL,23.43,6.34,32.44,11.55,32.44,11.55,,
73,9006,Peters-Scheffer,2013,control / TAU,0,0,0,0,0,0,1,24.0,20,,,37.0,85.0,19.0,1.0,0.0,0.0,48,Non-verbal IQ,MSEL,26.95,5.46,36.1,11.99,36.1,11.99,,
79,9006,Peters-Scheffer,2013,control / TAU,0,0,0,0,0,0,1,24.0,20,,,37.0,85.0,19.0,1.0,0.0,0.0,48,Motor IQ,MSEL,27.65,6.43,34.65,10.37,34.65,10.37,,
83,9006,Peters-Scheffer,2013,control / TAU,0,0,0,0,0,0,1,24.0,20,,,37.0,85.0,19.0,1.0,0.0,0.0,48,Language IQ,MSEL,20.15,8.57,30.8,13.27,30.8,13.27,,
85,9006,Peters-Scheffer,2013,control / TAU,0,0,0,0,0,0,1,24.0,20,,,37.0,85.0,19.0,1.0,0.0,0.0,48,Language IQ,MSEL,18.95,9.12,28.2,14.03,28.2,14.03,,
